Course Code,CO No.,Course Outcomes,Pos/PSOs,CL,KC,Classroom session,,,,,,,,,
61818,CO1,"To understand Advantages & disadvantages of E-Commerce, The Information Technology Act 2000.","PO1,PSO3",R,C,7,,,,,,,,,
61818,CO2,Analysis of Business Models of e-commerce,"PO1,PSO3","R, U",C,8,,,,,,,,,
61818,CO3,"To understand E-Marketing, E-Security, E-Payment System","PO1, PO2,PSO3",U,"C, P",6,,,,,,,,,
61818,CO4,"To understand E-Supply Chain Management ,E-Strategy .","PO1,PSO3","U, An",C,7,,,,,,,,,
61818,CO5,Demonstrate Mobile Commerce,"PO1,PSO3",An,C,8,,,,,,,,,
61818,CO6,"Concept, Origin, Evolution & Structure, Best Practices, ERP Vendor Analysis Basic Functional Modules in ERP.","PO1,PO2,PSO3","R, U",C,6,,,,,,,,,
"
","
",,,,,,,,,,,,,,
PO/PSO,COs,Total Session,%Session,Mapping Strength,,,,,,,,,,,
PO2,CO3,6,15,1,,,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3,,,,,,,,,,,
PO2,CO6,6,15,1,,,,,,,,,,,
PSO3,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3,,,,,,,,,,,
"
","
",,,,,,,,,,,,,,
CO/PO/PSO,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3
CO1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3
CO2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3
CO3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3
CO4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3
CO5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3
CO6,3,1,-,-,-,-,-,-,-,-,-,-,-,-,3
AVG,3,1,-,-,-,-,-,-,-,-,-,-,-,-,3
"
","
",,,,,,,,,,,,,,
CO,Q. No.,Max Marks,Average Marks,% Marks,Assessment Average,Attendance Average,% Assessment & Attendance,University Average,Direct Assessment,Indirect Assessment,Total Attainment,,,,
CO1,1,4,3.44,68.8,4.51,4.56,90.7,47.15,55.83,80,58.25,,,,
CO2,2,4,3.23,64.6,4.51,4.56,90.7,47.15,54.99,80,57.49,,,,
CO3,4,4,3.41,68.2,4.51,4.56,90.7,47.15,55.71,80,58.14,,,,
CO4,5,4,3.15,63,4.51,4.56,90.7,47.15,54.67,80,57.2,,,,
CO5,3,4,3.44,68.8,4.51,4.56,90.7,47.15,55.83,80,58.25,,,,
CO6,-,-,-,-,4.51,4.56,90.7,47.15,60.21,80,62.19,,,,
"
","
",,,,,,,,,,,,,,
PO/PSO,COs,Total Session,% Session,Mapping Strength,Average of Relevant COs,PO/PSO Attainment,,,,,,,,,
PO2,CO3,6,15,1,58.14,19.38,,,,,,,,,
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3,58.59,58.59,,,,,,,,,
PO2,CO6,6,15,1,62.19,20.73,,,,,,,,,
PSO3,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3,58.59,58.59,,,,,,,,,
"
","
",,,,,,,,,,,,,,
