"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","61809","","","4","4","3","2","4","17","25","25"
"15106107230","61809","","","4","4","3","4","3","18","27","38"
"15106107231","61809","","","4","4","2","3","4","17","25","36"
"15106107228","61809","","","1","4","4","3","4","16","24","25"
"15106107233","61809","","","4","4","4","4","4","20","30","49"
"15106107227","61809","","","3","3","3","3","4","16","24","33"
"15106107260","61809","","","4","2","4","3","4","17","25","33"
"15106107262","61809","","","4","2","4","4","4","18","26","37"
"15106107259","61809","","","4","3","3","1","4","15","23","31"
"15106107267","61809","","","3","3","3","4","2","15","23","29"
"15106107234","61809","","","4","4","4","4","4","20","30","41"
"15106107235","61809","","","4","4","2","4","2","16","24","34"
"15106107236","61809","","","4","4","4","4","4","20","30","27"
"15106107263","61809","","","3","4","3","3","3","16","24","26"
"15106107264","61809","","","4","4","4","4","4","20","30","39"
"15106107237","61809","","","4","4","2","4","3","17","25","37"
"15106107238","61809","","","4","4","4","3","3","18","26","40"
"15106107239","61809","","","2","4","4","4","4","18","26","34"
"15106107229","61809","","","4","4","3","3","1","15","23","33"
"15106107240","61809","","","4","3","4","3","4","18","26","34"
"15106107241","61809","","","4","4","2","4","3","17","25","31"
"15106107242","61809","","","4","4","2","3","4","17","25","39"
"15106107244","61809","","","4","3","2","2","4","15","23","31"
"15106107265","61809","","","4","4","4","4","2","18","26","26"
"15106107245","61809","","","4","3","4","4","4","19","29","38"
"15106107246","61809","","","3","4","2","4","4","17","25","35"
"15106107247","61809","","","4","3","3","1","4","15","23","32"
"15106107248","61809","","","3","3","4","2","4","16","24","35"
"15106107249","61809","","","4","4","3","4","4","19","28","44"
"15106107250","61809","","","3","4","4","4","4","19","28","38"
"15106107253","61809","","","3","3","4","4","4","18","26","30"
"15106107254","61809","","","3","4","4","4","4","19","29","35"
"15106107255","61809","","","3","4","4","3","4","18","27","29"
"15106107266","61809","","","4","4","4","4","4","20","30","43"
"15106107256","61809","","","3","4","4","3","3","17","25","36"
"15106107257","61809","","","4","4","2","3","3","16","24","29"
